employee_id,education_title,institute,group_major,board_university,result_grade,passing_year,gpa_cgpa,company,designation,department,date_from,date_to,duration,responsibility,training_title,course_name,training_code,institute_1,country,location,duration_1,from_date,to_date
1334,BSc in Computer Science,University of Dhaka,Computer Science,Dhaka University,First Class,2021,3.85,ABC Corp,Software Engineer,IT Department,2022-01-01 00:00:00,2023-12-31 00:00:00,2 years,Developed software solutions,Advanced Python Training,Python Programming,PY12345,University of Dhaka,Bangladesh,Dhaka,6 months,2022-06-01 00:00:00,2022-11-30 00:00:00
1334,MBA,BRAC University,Management,BRAC University,A,2020,3.75,XYZ Ltd,Marketing Manager,Marketing,2021-03-01 00:00:00,2023-03-01 00:00:00,2 years,Managed marketing campaigns,Digital Marketing Workshop,Social Media Ads,DM45678,BRAC University,Bangladesh,Dhaka,3 months,2021-07-01 00:00:00,2021-09-30 00:00:00
1220,MA in Economics,North South University,Economics,North South University,B+,2019,3.6,Global Finance Ltd,Financial Analyst,Finance,2020-05-01 00:00:00,2022-05-01 00:00:00,2 years,Analyzed financial data,Financial Modelling Course,Excel for Finance,FM78910,North South University,Bangladesh,Dhaka,4 months,2020-06-01 00:00:00,2020-09-30 00:00:00
1220,BA in English,East West University,English,East West University,First Class,2021,3.9,Educational Solutions,English Teacher,Education,2021-08-01 00:00:00,2023-08-01 00:00:00,2 years,Conducted English lessons,TESOL Certification,Teaching English,TE11223,East West University,Bangladesh,Dhaka,6 months,2021-09-01 00:00:00,2022-02-28 00:00:00
3422,BSc in Electrical Engg,Bangladesh University,Electrical Engg,Bangladesh University,First Class,2020,3.8,Innovatech Ltd,Electrical Engineer,Engineering,2021-02-01 00:00:00,2023-02-01 00:00:00,2 years,Designed electrical systems,PLC Programming Training,Automation Systems,AS33456,Bangladesh University,Bangladesh,Chittagong,3 months,2021-03-01 00:00:00,2021-05-31 00:00:00
1122,BBA,IBA Dhaka University,Business Admin,Dhaka University,A,2021,3.78,TechSolutions Ltd,Business Analyst,Business Analysis,2021-04-01 00:00:00,2023-04-01 00:00:00,2 years,Conducted market research,Business Strategy Course,Business Analytics,BS98765,IBA Dhaka University,Bangladesh,Dhaka,5 months,2021-06-01 00:00:00,2021-10-31 00:00:00
3422,MSc in Environmental Science,University of Rajshahi,Environmental Science,Rajshahi University,B+,2020,3.55,GreenWorld Ltd,Environmental Consultant,Environmental Consultancy,2021-06-01 00:00:00,2023-06-01 00:00:00,2 years,Conducted environmental assessments,Environmental Impact Training,Environmental Science,EI12345,University of Rajshahi,Bangladesh,Rajshahi,4 months,2021-07-01 00:00:00,2021-10-31 00:00:00
1001,BSc in Mechanical Engineering,Ahsanullah University,Mechanical Engg,Ahsanullah University,First Class,2020,3.85,AutoTech Ltd,Mechanical Engineer,Engineering,2021-01-01 00:00:00,2023-01-01 00:00:00,2 years,Designed mechanical systems,Advanced Robotics Course,Robotics Engineering,RE65432,Ahsanullah University,Bangladesh,Dhaka,6 months,2021-02-01 00:00:00,2021-07-31 00:00:00
1122,LLB,Dhaka International University,Law,Dhaka University,A,2021,3.9,Legal Solutions Ltd,Legal Advisor,Legal Department,2021-08-01 00:00:00,2023-08-01 00:00:00,2 years,Provided legal consultations,Corporate Law Training,Corporate Law,CL11223,Dhaka International University,Bangladesh,Dhaka,3 months,2021-09-01 00:00:00,2021-11-30 00:00:00
7888,MBA,BRAC University,Management,BRAC University,First Class,2020,3.8,RetailHub Ltd,Operations Manager,Operations,2021-03-01 00:00:00,2023-03-01 00:00:00,2 years,Managed operations and logistics,Supply Chain Management Training,Logistics Management,SC12345,BRAC University,Bangladesh,Dhaka,4 months,2021-04-01 00:00:00,2021-07-31 00:00:00
1122,MBA,BRAC University,Management,BRAC University,First Class,2020,3.8,RetailHub Ltd,Operations Manager,Operations,2021-03-01 00:00:00,2023-03-01 00:00:00,2 years,Managed operations and logistics,Supply Chain Management Training,Logistics Management,SC12345,BRAC University,Bangladesh,Dhaka,4 months,2021-04-01 00:00:00,2021-07-31 00:00:00
