employee_id,clock_in,clock_out,workstation
2,"2026-07-01 09:02:00","2026-07-01 18:11:00",On-Site
2,"2026-07-02 09:20:00","2026-07-02 18:00:00",On-Site
2,"2026-07-04 09:45:00","2026-07-04 18:00:00",On-Site
2,"2026-07-05 09:02:00","2026-07-05 17:25:00",On-Site
2,"2026-07-06 09:00:00","2026-07-06 20:00:00",On-Site
2,"2026-07-07 08:58:00","2026-07-07 18:02:00",On-Site
2,"2026-07-08 09:10:00","2026-07-08 18:11:00",On-Site
2,"2026-07-09 09:20:00","2026-07-09 18:00:00",On-Site
2,"2026-07-11 09:45:00","2026-07-11 18:00:00",On-Site
2,"2026-07-12 09:05:00","2026-07-12 17:25:00",On-Site
2,"2026-07-13 09:00:00","2026-07-13 20:00:00",On-Site
2,"2026-07-14 08:58:00","2026-07-14 18:02:00",On-Site
2,"2026-07-15 09:08:00","2026-07-15 18:13:00",On-Site
2,"2026-07-16 09:20:00","2026-07-16 18:00:00",On-Site
2,"2026-07-18 09:45:00","2026-07-18 18:00:00",On-Site
2,"2026-07-19 09:01:00","2026-07-19 17:25:00",On-Site
2,"2026-07-20 09:00:00","2026-07-20 20:00:00",On-Site
2,"2026-07-21 08:58:00","2026-07-21 18:02:00",On-Site
2,"2026-07-22 09:07:00","2026-07-22 18:04:00",On-Site
2,"2026-07-23 09:20:00","2026-07-23 18:00:00",On-Site
2,"2026-07-25 09:45:00","2026-07-25 18:00:00",On-Site
2,"2026-07-26 09:05:00","2026-07-26 17:25:00",On-Site
2,"2026-07-27 09:00:00","2026-07-27 20:00:00",On-Site
2,"2026-07-28 08:58:00","2026-07-28 18:02:00",On-Site
2,"2026-07-29 09:08:00","2026-07-29 18:15:00",On-Site
2,"2026-07-30 09:20:00","2026-07-30 18:00:00",On-Site
10,"2026-07-01 09:03:00","2026-07-01 18:08:00",On-Site
10,"2026-07-02 09:20:00","2026-07-02 18:00:00",On-Site
10,"2026-07-05 09:45:00","2026-07-05 18:00:00",On-Site
10,"2026-07-06 09:03:00","2026-07-06 17:25:00",On-Site
10,"2026-07-07 09:00:00","2026-07-07 20:00:00",On-Site
10,"2026-07-08 08:58:00","2026-07-08 18:02:00",On-Site
10,"2026-07-09 09:05:00","2026-07-09 18:10:00",On-Site
10,"2026-07-12 09:20:00","2026-07-12 18:00:00",On-Site
10,"2026-07-13 09:45:00","2026-07-13 18:00:00",On-Site
10,"2026-07-14 09:01:00","2026-07-14 17:25:00",On-Site
10,"2026-07-15 09:00:00","2026-07-15 20:00:00",On-Site
10,"2026-07-16 08:58:00","2026-07-16 18:02:00",On-Site
10,"2026-07-19 09:08:00","2026-07-19 18:12:00",On-Site
10,"2026-07-20 09:20:00","2026-07-20 18:00:00",On-Site
10,"2026-07-21 09:45:00","2026-07-21 18:00:00",On-Site
10,"2026-07-22 09:00:00","2026-07-22 17:25:00",On-Site
10,"2026-07-23 09:00:00","2026-07-23 20:00:00",On-Site
10,"2026-07-26 08:58:00","2026-07-26 18:02:00",On-Site
10,"2026-07-27 09:00:00","2026-07-27 18:08:00",On-Site
10,"2026-07-28 09:20:00","2026-07-28 18:00:00",On-Site
10,"2026-07-29 09:45:00","2026-07-29 18:00:00",On-Site
10,"2026-07-30 09:01:00","2026-07-30 17:25:00",On-Site
