employee_id,clock_in,clock_out,workstation
2,"2026-05-02 09:05:00","2026-05-02 18:11:00",On-Site
2,"2026-05-03 09:25:00","2026-05-03 18:00:00",On-Site
2,"2026-05-04 09:55:00","2026-05-04 18:00:00",On-Site
2,"2026-05-05 09:00:00","2026-05-05 17:20:00",On-Site
2,"2026-05-06 09:00:00","2026-05-06 20:30:00",On-Site
2,"2026-05-07 08:55:00","2026-05-07 18:05:00",On-Site
2,"2026-05-09 09:09:00","2026-05-09 18:14:00",On-Site
2,"2026-05-10 09:25:00","2026-05-10 18:00:00",On-Site
2,"2026-05-11 09:55:00","2026-05-11 18:00:00",On-Site
2,"2026-05-12 09:01:00","2026-05-12 17:20:00",On-Site
2,"2026-05-13 09:00:00","2026-05-13 20:30:00",On-Site
2,"2026-05-14 08:55:00","2026-05-14 18:05:00",On-Site
2,"2026-05-16 09:01:00","2026-05-16 18:06:00",On-Site
2,"2026-05-17 09:25:00","2026-05-17 18:00:00",On-Site
2,"2026-05-18 09:55:00","2026-05-18 18:00:00",On-Site
2,"2026-05-19 09:03:00","2026-05-19 17:20:00",On-Site
2,"2026-05-20 09:00:00","2026-05-20 20:30:00",On-Site
2,"2026-05-21 08:55:00","2026-05-21 18:05:00",On-Site
2,"2026-05-23 09:03:00","2026-05-23 18:06:00",On-Site
2,"2026-05-24 09:25:00","2026-05-24 18:00:00",On-Site
2,"2026-05-25 09:55:00","2026-05-25 18:00:00",On-Site
2,"2026-05-26 09:04:00","2026-05-26 17:20:00",On-Site
2,"2026-05-27 09:00:00","2026-05-27 20:30:00",On-Site
2,"2026-05-28 08:55:00","2026-05-28 18:05:00",On-Site
2,"2026-05-30 09:08:00","2026-05-30 18:00:00",On-Site
2,"2026-05-31 09:25:00","2026-05-31 18:00:00",On-Site
10,"2026-05-03 09:02:00","2026-05-03 18:02:00",On-Site
10,"2026-05-04 09:25:00","2026-05-04 18:00:00",On-Site
10,"2026-05-05 09:55:00","2026-05-05 18:00:00",On-Site
10,"2026-05-06 09:00:00","2026-05-06 17:20:00",On-Site
10,"2026-05-07 09:00:00","2026-05-07 20:30:00",On-Site
10,"2026-05-10 08:55:00","2026-05-10 18:05:00",On-Site
10,"2026-05-11 09:04:00","2026-05-11 18:07:00",On-Site
10,"2026-05-12 09:25:00","2026-05-12 18:00:00",On-Site
10,"2026-05-13 09:55:00","2026-05-13 18:00:00",On-Site
10,"2026-05-14 09:02:00","2026-05-14 17:20:00",On-Site
10,"2026-05-17 09:00:00","2026-05-17 20:30:00",On-Site
10,"2026-05-18 08:55:00","2026-05-18 18:05:00",On-Site
10,"2026-05-19 09:08:00","2026-05-19 18:14:00",On-Site
10,"2026-05-20 09:25:00","2026-05-20 18:00:00",On-Site
10,"2026-05-21 09:55:00","2026-05-21 18:00:00",On-Site
10,"2026-05-24 09:02:00","2026-05-24 17:20:00",On-Site
10,"2026-05-25 09:00:00","2026-05-25 20:30:00",On-Site
10,"2026-05-26 08:55:00","2026-05-26 18:05:00",On-Site
10,"2026-05-27 09:08:00","2026-05-27 18:02:00",On-Site
10,"2026-05-28 09:25:00","2026-05-28 18:00:00",On-Site
10,"2026-05-31 09:55:00","2026-05-31 18:00:00",On-Site
